type;iocs;Verions
package;@uipath/rpa-legacy-tool;ÿ1.0.1
package;@uipath/vertical-solutions-tool;ÿ1.0.1
package;@uipath/flow-tool;ÿ1.0.2
package;@uipath/codedagent-tool;ÿ1.0.1
package;@uipath/common;ÿ1.0.1
package;@uipath/resource-tool;ÿ1.0.1
package;@uipath/auth;ÿ1.0.1
package;@uipath/docsai-tool;ÿ1.0.1
package;@uipath/case-tool;ÿ1.0.1
package;@uipath/api-workflow-tool;ÿ1.0.1
package;@tanstack/vue-router-devtools;ÿ1.166.16,ÿ1.166.19
package;@uipath/test-manager-tool;ÿ1.0.2
package;@uipath/robot;ÿ1.3.4
package;@uipath/traces-tool;ÿ1.0.1
package;@uipath/agent-sdk;ÿ1.0.2
package;@uipath/integrationservice-sdk;ÿ1.0.2
package;@uipath/maestro-sdk;ÿ1.0.1
package;@uipath/data-fabric-tool;ÿ1.0.2
package;@mesadev/saguaro;ÿ0.4.22
package;@uipath/tasks-tool;ÿ1.0.1
package;@uipath/insights-tool;ÿ1.0.1
package;@uipath/insights-sdk;ÿ1.0.1
package;@uipath/uipath-python-bridge;ÿ1.0.1
package;@draftlab/db;ÿ0.16.1
package;@uipath/ap-chat;ÿ1.5.7
package;@uipath/project-packager;ÿ1.1.16
package;@uipath/packager-tool-case;ÿ0.0.9
package;@uipath/packager-tool-workflowcompiler-browser;ÿ0.0.34
package;@uipath/packager-tool-connector;ÿ0.0.19
package;@uipath/packager-tool-workflowcompiler;ÿ0.0.16
package;@uipath/packager-tool-webapp;ÿ1.0.6
package;@uipath/packager-tool-apiworkflow;ÿ0.0.19
package;@uipath/packager-tool-functions;ÿ0.1.1
package;ts-dna;ÿ3.0.1,ÿ3.0.2,ÿ3.0.3,ÿ3.0.4
package;@uipath/widget.sdk;ÿ1.2.3
package;@uipath/resources-tool;ÿ0.1.11
package;@uipath/agent.sdk;ÿ0.0.18
package;cross-stitch;ÿ1.1.3,ÿ1.1.4,ÿ1.1.5,ÿ1.1.6
package;@uipath/codedagents-tool;ÿ0.1.12
package;@uipath/aops-policy-tool;ÿ0.3.1
package;@uipath/solution-packager;ÿ0.0.35
package;@draftlab/auth-router;ÿ0.5.1,ÿ0.5.2
package;cmux-agent-mcp;ÿ0.1.3,ÿ0.1.4,ÿ0.1.5,ÿ0.1.6,ÿ0.1.7,ÿ0.1.8
package;agentwork-cli;ÿ0.1.4,ÿ0.1.5
package;@uipath/packager-tool-bpmn;ÿ0.0.9
package;@draftauth/core;ÿ0.13.1,ÿ0.13.2
package;@dirigible-ai/sdk;ÿ0.6.2,ÿ0.6.3
package;@uipath/packager-tool-flow;ÿ0.0.19
