type;iocs;Verions;Date;Reference
package;@uipath/apollo-wind;ÿ2.16.2;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/cli;ÿ1.0.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@tanstack/vue-start-server;ÿ1.166.50,ÿ1.166.53;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@squawk/types;ÿ0.8.2,ÿ0.8.3,ÿ0.8.4;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/rpa-tool;ÿ0.9.5;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@squawk/mcp;ÿ0.9.1,ÿ0.9.2,ÿ0.9.3,ÿ0.9.4;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@tanstack/vue-start-client;ÿ1.166.46,ÿ1.166.49;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@squawk/weather;ÿ0.5.6,ÿ0.5.7,ÿ0.5.8,ÿ0.5.9;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@squawk/airspace;ÿ0.8.1,ÿ0.8.2,ÿ0.8.3,ÿ0.8.4;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@squawk/icao-registry-data;ÿ0.8.4,ÿ0.8.5,ÿ0.8.6,ÿ0.8.7;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@tanstack/arktype-adapter;ÿ1.166.12,ÿ1.166.15;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@squawk/flightplan;ÿ0.5.2,ÿ0.5.3,ÿ0.5.4,ÿ0.5.5;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@squawk/airports;ÿ0.6.2,ÿ0.6.3,ÿ0.6.4,ÿ0.6.5;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@mesadev/sdk;ÿ0.28.3;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@squawk/geo;ÿ0.4.4,ÿ0.4.5,ÿ0.4.6,ÿ0.4.7;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@mesadev/rest;ÿ0.28.3;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@squawk/procedure-data;ÿ0.7.3,ÿ0.7.4,ÿ0.7.5,ÿ0.7.6;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@squawk/navaid-data;ÿ0.6.4,ÿ0.6.5,ÿ0.6.6,ÿ0.6.7;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@squawk/fix-data;ÿ0.6.4,ÿ0.6.5,ÿ0.6.6,ÿ0.6.7;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@squawk/navaids;ÿ0.4.2,ÿ0.4.3,ÿ0.4.4,ÿ0.4.5;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@squawk/fixes;ÿ0.3.2,ÿ0.3.3,ÿ0.3.4,ÿ0.3.5;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@squawk/airport-data;ÿ0.7.4,ÿ0.7.5,ÿ0.7.6,ÿ0.7.7;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@squawk/airway-data;ÿ0.5.4,ÿ0.5.5,ÿ0.5.6,ÿ0.5.7;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@squawk/units;ÿ0.4.3,ÿ0.4.4,ÿ0.4.5,ÿ0.4.6;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@squawk/procedures;ÿ0.5.2,ÿ0.5.3,ÿ0.5.4,ÿ0.5.5;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@squawk/airways;ÿ0.4.2,ÿ0.4.3,ÿ0.4.4,ÿ0.4.5;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@squawk/icao-registry;ÿ0.5.2,ÿ0.5.3,ÿ0.5.4,ÿ0.5.5;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/apollo-core;ÿ5.9.2;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@squawk/notams;ÿ0.3.6,ÿ0.3.7,ÿ0.3.8,ÿ0.3.9;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/filesystem;ÿ1.0.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/solutionpackager-tool-core;ÿ0.0.34;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@squawk/flight-math;ÿ0.5.4,ÿ0.5.5,ÿ0.5.6,ÿ0.5.7;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
