Type,Artifacts,Package,Version,Date,Reference
package,@tanstack/valibot-adapter@1.166.12,@tanstack/valibot-adapter,1.166.12,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tanstack/vue-start@1.167.61,@tanstack/vue-start,1.167.61,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/apollo-wind@2.16.2,@uipath/apollo-wind,2.16.2,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/cli@1.0.1,@uipath/cli,1.0.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tanstack/vue-start-server@1.166.50,@tanstack/vue-start-server,1.166.50,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@squawk/types@0.8.2,@squawk/types,0.8.2,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/rpa-tool@0.9.5,@uipath/rpa-tool,0.9.5,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@squawk/mcp@0.9.1,@squawk/mcp,0.9.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tanstack/vue-start-client@1.166.46,@tanstack/vue-start-client,1.166.46,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@squawk/weather@0.5.6,@squawk/weather,0.5.6,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@squawk/airspace@0.8.1,@squawk/airspace,0.8.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@squawk/icao-registry-data@0.8.4,@squawk/icao-registry-data,0.8.4,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tanstack/arktype-adapter@1.166.12,@tanstack/arktype-adapter,1.166.12,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@squawk/flightplan@0.5.2,@squawk/flightplan,0.5.2,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@squawk/airports@0.6.2,@squawk/airports,0.6.2,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@mesadev/sdk@0.28.3,@mesadev/sdk,0.28.3,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
